domain,data_format,scale,objective,annotation_type,title,url
Built Environment,Image-based,Small,Computer Vision Task,Annotated,Electrical-Symbol-recognition-and-Wiring-design,https://github.com/IKENNA113/Electrical-Symbol-recognition-and-Wiring-design
Built Environment,Image-based,Small,Computer Vision Task,Annotated,symbol Dataset ,https://universe.Roboflow.com/trial-s9d0l/symbol-upc23
Built Environment,Image-based,Small,Computer Vision Task,Anonymized,electrical symbol Dataset ,https://universe.Roboflow.com/fyp-hl9hj/electrical-symbol
Built Environment,Image-based,Small,Computer Vision Task,Annotated,electrical Model,https://universe.Roboflow.com/thesis-4pfnk/electrical-42wl4
Built Environment,Image-based,Small,Computer Vision Task,Annotated,electrical plan Model,https://universe.Roboflow.com/workspace-terhb/electrical-plan
Electronics,Image-based-based,Small,Computer Vision Task,Anonymized,Python Keras CNN for Electronic Symbol Image Recognition,https://github.com/hernancontigiani/Electronic-symbol-recognition-system/tree/master
Electronics,Image-based,Small,Computer Vision Task,Synthetic,Systems Evaluation SYnthetic Documents,http://mathieu.delalandre.free.fr/projects/sesyd/symbols/diagrams.html
Electronics,Image-based,Small,Error Checking,Anonymized,A PCB Dataset for Defects Detection and Classification,https://www.kaggle.com/datasets/akhatova/pcb-defects
Electronics,Image-based,Large,Error Checking,Annotated,SPot-the-Difference,https://github.com/amazon-science/spot-diff
Electronics,Image-based,Large,Error Checking,Annotated,MVTec AD,https://www.kaggle.com/datasets/ipythonx/mvtec-ad/data
Electronics,Image-based,Large,Error Checking,Curated,SSRheart PCB-Bank,https://github.com/SSRheart/PCB-Bank/tree/main
Electronics,Image-based,Large,Error Checking,Curated,pcba surface defects datasets,https://ieee-dataport.org/documents/pcba-surface-defects-datasets
Electronics,Image-based,Small,Error Checking,Annotated,PCB-Defect  An Annotated Dataset for Surface Defect Detection in Printed Circuit Boards,https://data.mendeley.com/datasets/vdj74sngvn/1
Electronics,Executable,Large,Decision Making,Synthetic,MNISQ  A Large-Scale Quantum Circuit Dataset for Machine Learning,https://github.com/FujiiLabCollaboration/MNISQ-quantum-circuit-dataset
Electronics,Executable,Large,Decision Making,Synthetic,QSBench  Synthetic quantum circuit datasets for QML benchmarking,https://huggingface.co/datasets/QSBench/QSBench-Core-v1.0.0-demo
Electronics,Structured,Large,Decision Making,Anonymized,Dataset for Quantum Circuits Mapping,https://data.mendeley.com/datasets/pmycgb2bt7/1
Electronics,Image-based,Small,Computer Vision Task,Annotated,Digitize-HCD  A Dataset for Digitization of Handwritten Circuit Diagrams,https://data.mendeley.com/datasets/rngcz5wtv8/1
Electronics,Image-based,Large,Error Checking,Curated,The GraphPCB Dataset  ,https://ieee-dataport.org/documents/graphpcb-dataset
Electronics,Image-based,Small,Error Checking,Annotated,FPIC-Component,https://datasetninja.com/fpic-component
Electronics,Image-based,Small,Error Checking,Annotated,PCB DSLR DATASET,https://zenodo.org/records/3886553
Electronics,Image-based,Small,Error Checking,Annotated,PCB Component Detection,https://sites.google.com/view/chiawen-kuo/home/pcb-component-detection
Electronics,Structured,Small,Computer Vision Task,Annotated,Hand-drawn electrical circuit diagram graph generation,https://ieee-dataport.org/documents/hand-drawn-electrical-circuit-diagram-graph-generation
Electronics,Executable,Large,System Analysis,Synthetic,Asynchronous Circuit Logic Dataset,https://ieee-dataport.org/documents/asynchronous-circuit-logic-dataset-acld
Electronics,Structured,Small,System Analysis,Anonymized,Double-delay voltage-controlled oscillator chaotic integrated circuit data set  ,https://ieee-dataport.org/documents/double-delay-voltage-controlled-oscillator-chaotic-integrated-circuit-data-set
Electronics,Image-based,Small,Computer Vision Task,Annotated,Hand-drawn Power Converter Circuit Diagrams  ,https://ieee-dataport.org/documents/hand-drawn-power-converter-circuit-diagrams
Electronics,Structured,Small,System Analysis,Synthetic,CML DATA  ,https://ieee-dataport.org/documents/cml-data
Electronics,Image-based,Small,Error Checking,Curated,Dataset for Hierarchical Optimization Framework for Robust PCB Defect Detection via Adaptive YOLOv12 Architecture  ,https://ieee-dataport.org/documents/dataset-hierarchical-optimization-framework-robust-pcb-defect-detection-adaptive-yolov12
Electronics,Image-based,Small,Error Checking,Annotated,PCBTwo001  ,https://ieee-dataport.org/documents/pcbtwo001
Electronics,Image-based,Small,Error Checking,Annotated,DefectDet  An Annotated Dataset of Printed Circuit Boards with Surface Defects,https://data.mendeley.com/datasets/t9d9zs3bmb/1
Electronics,Image-based,Small,Error Checking,Curated,MIXED PCB DEFECT DATASET,https://data.mendeley.com/datasets/fj4krvmrr5/4
Electronics,Image-based,Small,Error Checking,Annotated,PCB-Vision  A Multiscene RGB-Hyperspectral Benchmark Dataset of Printed Circuit Boards,https://zenodo.org/records/10617721
Electronics,Image-based,Large,Error Checking,Annotated,A Public Ground-Truth Dataset for Handwritten Circuit Diagram Images,https://zenodo.org/records/17469897
Electronics,Image-based,Small,Error Checking,Annotated,MPI-PCB Dataset,https://zenodo.org/records/8213098
Electronics,Image-based,Small,Error Checking,Annotated,The screen-printed circuit defect dataset,https://www.scidb.cn/en/detail?dataSetId=3210a1b603d34ad7bc9053008161ad65&version=V2
Electronics,Image-based,Large,Computer Vision Task,Annotated,ci2n_datasets   ,https://github.com/LAD021/ci2n_datasets
Electronics,Structured,Large,Decision Making,Synthetic,CktGNN  Circuit Graph Neural Network for Electronic Design Automation,https://github.com/zehao-dong/CktGNN
Electronics,Executable,Large,System Analysis,Synthetic,lsils benchmarks  EPFL logic synthesis benchmarks   ,https://doi.org/10.5281/zenodo.2572934
Electronics,Executable,Large,System Analysis,Annotated,cad-polito-it I99T  ITC99 benchmarks,https://github.com/cad-polito-it/I99T
Electronics,Structured,Large,System Analysis,Synthetic,circuit-gnn Graph Neural Networks for Distributed Circuit Design,https://github.com/hehaodele/circuit-gnn
Electronics,Structured,Large,Decision Making,Annotated,ISPD 2011 Routability-driven Placement Contest and Benchmark Suite,https://www.ispd.cc/contests/11/ispd2011_contest.html
Electronics,Structured,Large,System Analysis,Curated,CircuitNet  An Open-Source Dataset for Machine Learning Applications in Electronic Design Automation,https://github.com/circuitnet/CircuitNet
Electronics,Structured,Large,Computer Vision Task,Curated,Printed Circuit Board Processed Image,https://www.doi.org/10.24432/C5DK8H
Electronics,Image-based,Large,Computer Vision Task,Annotated,The PCB-AoI Public Dataset,https://www.kaggle.com/datasets/kubeedgeianvs/pcb-aoi
Electronics,Image-based,Small,Error Checking,Annotated,Predictive Maintenance for Electrical Wiring Faults,https://data.mendeley.com/datasets/g6rbmc2ggc/1
Electronics,Image-based,Large,Computer Vision Task,Annotated,circuit elements Dataset,https://universe.Roboflow.com/Roboflow-100/circuit-elements
Electronics,Image-based,Large,Computer Vision Task,Annotated,XPACT  Comprehensive X-ray Computed Tomography (CT) Dataset for Printed Circuit Board (PCB) Assurance and Counterfeit Tracking   ,https://github.com/fleathlushby/XPACT/tree/main
Electronics,Image-based,Small,Computer Vision Task,Annotated,Xray-pcb-detection Computer Vision Dataset,https://universe.Roboflow.com/nd-studio/xray-pcb-detection
Electronics,Image-based,Small,Computer Vision Task,Annotated,SegPCBX dataset,https://physicaldb.ece.ufl.edu/index.php/segpcbx-dataset/
Electronics,Structured,Large,Computer Vision Task,Annotated,Bench-PCNP  ,https://ieee-dataport.org/documents/bench-pcnp
Electronics,Image-based,Large,Computer Vision Task,Curated,dakhmatipcb open-schematics ,https://huggingface.co/datasets/dakhmatipcb/open-schematics
Electronics,Executable,Large,Computer Vision Task,Curated,symbench spice-datasets  SPICE Netlist Datasets ,https://github.com/symbench/spice-datasets/tree/master
Electronics,Executable,Large,Decision Making,Curated,Masala-CHAI,https://github.com/jitendra-bhandari/Masala-CHAI/tree/main
Electronics,Executable,Large,Decision Making,Curated,AnalogGenie,https://github.com/xz-group/AnalogGenie/tree/main
Electronics,Structured,Large,System Analysis,Synthetic,OpenABC-D  A Large-Scale Dataset For Machine Learning Guided Integrated Circuit Synthesis,https://ultraviolet.library.nyu.edu/records/mw6q2-a8p15
Electronics,Structured,Small,Computer Vision Task,Curated,GANA_circuit_data  just checking,https://github.com/kkunal1408/GANA_circuit_data/tree/master
Electronics,Executable,Large,Decision Making,Curated,ALIGN-public CircuitsDatabase,https://github.com/ALIGN-analoglayout/ALIGN-public/tree/master/CircuitsDatabase
Electronics,Structured,Large,System Analysis,Anonymized,IntelLabs FloorSet,https://github.com/IntelLabs/FloorSet/tree/main
Electronics,Executable,Large,System Analysis,Curated,ASU-VDA-Lab ML-for-IR-drop ,https://github.com/ASU-VDA-Lab/ML-for-IR-drop/tree/main
Electronics,Executable,Large,System Analysis,Curated,UMN-EDA BeGAN-benchmarks,https://github.com/UMN-EDA/BeGAN-benchmarks/tree/master
Electronics,Executable,Large,Decision Making,Curated,VGen,https://github.com/shailja-thakur/VGen/tree/main
Electronics,Image-based,Small,Computer Vision Task,Annotated,JUHCCR-v1-A,https://www.kaggle.com/datasets/ayush02102001/circuit-component-analysis/data?select=CktComDb-v1.a
Electronics,Image-based,Small,Computer Vision Task,Annotated,Circuits Model ,https://universe.Roboflow.com/zavrsni/circuits-oxmv9
Electronics,Image-based,Small,Computer Vision Task,Annotated,Circuit Recognition Model  ,https://universe.Roboflow.com/rp-project/circuit-recognition
Electronics,Image-based,Small,Computer Vision Task,Annotated,Circuit Component Detection Model  ,https://universe.Roboflow.com/nadim-ahmed/circuit-component-detection-9wiz7
Electronics,Image-based,Small,Computer Vision Task,Annotated,circuit diagram Model  ,https://universe.Roboflow.com/deeplearning-l1bq5/circuit-diagram-eo4kn
Electronics,Image-based,Small,Computer Vision Task,Annotated,circuit Model  ,https://universe.Roboflow.com/circuitrecognnition/circuit-3l5sc
Electronics,Image-based,Small,Computer Vision Task,Annotated,CirAI Model  ,https://universe.Roboflow.com/meezaan-ryklief-ol7dr/cirai-jt6n6
Electronics,Image-based,Small,Computer Vision Task,Annotated,Cct Dataset  ,https://universe.Roboflow.com/the-hashemite-university-6jqtj/cct-gpbio
Electronics,Image-based,Small,Computer Vision Task,Annotated,NetlistProject_V2 Dataset  ,https://universe.Roboflow.com/ahmet-emre/netlistproject_v2
Electronics,Image-based,Small,Computer Vision Task,Annotated,Circuit Diagram Dataset  ,https://universe.Roboflow.com/james-fu-mtcku/circuit-diagram
Electronics,Image-based,Small,Computer Vision Task,Annotated,CIrcuit Recognition Model  ,https://universe.Roboflow.com/ml-circuit-recognition/circuit-recognition-xddcj
Electronics,Image-based,Small,Computer Vision Task,Annotated,PCB Oriented Detection,https://www.kaggle.com/datasets/yuyi1005/pcb-oriented-detection
Electronics,Image-based,Small,Computer Vision Task,Annotated,DsPCBSD+,https://doi.org/10.6084/m9.figshare.24970329
Built Environment,Structured,Large,System Analysis,Synthetic,Replication Data for  Workload Queuing Dynamics Define the Electricity Demand Baseline of AI Data Centers - DC-Power,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/R6A5BD
Built Environment,Image-based,Small,Computer Vision Task,Anonymized,anonED  A training free method for anonymising sensitive regions in complex engineering diagrams.   ,https://github.com/mayoT0/anonED
Built Environment,Structured,Small,System Analysis,Anonymized,SustaGraph_electrical_dataset,https://data.mendeley.com/datasets/4vdpxdd7vp/1
Power,Structured,Large,System Analysis,Anonymized,GridKit  European and North-American extracts,https://www.doi.org/10.5281/ZENODO.47317
Power,Structured,Small,System Analysis,Synthetic,KPG  Kirk representation of Power Graphs  ,https://ieee-dataport.org/documents/kpg-kirk-representation-power-graphs
Power,Structured,Small,System Analysis,Synthetic,ER_SPG  Synthetic Power Graph generation by Erdos-Renyi Model,https://ieee-dataport.org/documents/erspg-synthetic-power-graph-generation-erdos-renyi-model
Power,Structured,Large,System Analysis,Curated,Electric Grid Test Case Repository,https://electricgrids.engr.tamu.edu/electric-grid-test-cases/
Power,Image-based,Small,System Analysis,Curated,"Spreading of Disturbances in Realistic Models of Transmission Grids  Dependence on Topology, Inertia and Heterogeneity",https://ieee-dataport.org/documents/supplementary-material-spreading-disturbances-realistic-models-transmission-grids
